date,simple dispatch|0,simple dispatch|1,simple dispatch|2,simple dispatch|3,simple dispatch|4,simple dispatch|5,simple dispatch|6,simple dispatch|7,simple dispatch|8,simple dispatch|9,simple dispatch|10,simple dispatch|11,simple dispatch|12,simple dispatch|13,simple dispatch|14,simple dispatch|15,simple dispatch|16,simple dispatch|17,simple dispatch|18,simple dispatch|19,simple dispatch|20,simple dispatch|21,simple dispatch|22,simple dispatch|23
2017-01-01,,,,,,999999.0,1006.6417130959818,919.1708765079486,727.8607978245312,1015.8150020300751,1015.8150020304132,713.6744792319673,896.0946522177154,1005.9853409405223,895.2629783678998,892.0374015140338,954.7065149473483,1029.1759007780418,928.4419362537786,892.0066342239097,892.0066342239111,949.4648141217697,815.9371151516618,450.2773061365229
2017-01-02,373.4038258928578,480.2906326981879,652.2291675279106,838.3113348659829,938.3300490489733,785.2113867893279,660.4050383417023,378.23488295493,431.7998519620386,533.4422821743065,380.61636574038033,691.4813642517714,873.6911567614418,911.7072556476003,842.1549478966953,580.7824048066112,450.3299279326714,373.4038258928542,373.4038258929309,431.6526644559214,427.9797168263646,548.3126563520024,566.2248636942884,511.6734400998608
2017-01-03,479.7508785406137,593.4246973154487,525.6287435214585,555.4452693815656,841.0090797536354,937.354564418257,787.2404243516437,872.0678421758793,419.39084767006517,691.3506633417682,912.9843177699304,800.6995260632353,494.6022284111644,638.2528426205549,377.5557972091114,528.912198595615,437.57621850844316,423.69781052734777,373.4038258928732,403.4107464812064,381.37385131924333,408.8609663486084,357.1126144969302,537.1674767319988
2017-01-04,841.6147636141942,631.478602369227,557.7616989563334,504.5643085969148,780.7279110011044,944.873357851841,416.03933893077937,1015.8150020304034,1015.8150020304207,1015.8150020303368,845.6939345642627,827.8698262324621,530.7980721084829,547.8740313741953,520.8732620571952,373.4038258928621,517.4434111292778,633.5480509624844,378.97767146981033,721.6423431549118,366.5027879838732,682.8820265627734,575.6485732642774,628.7526491629153
2017-01-05,867.1846638955823,583.3495521057173,831.0876968744323,664.0223134026485,553.1029391565719,544.2594397759292,691.8456787833741,587.5137894892988,752.9364174885976,425.7531531268284,591.6583224558955,659.448386195298,786.0214724429687,935.911821919038,938.1733749326587,912.4888665346992,990.2000413174544,880.6086706514693,884.7408900531352,878.5647026039633,866.8658671873203,863.7602669711082,933.5763150394928,970.3662549863554
2017-01-06,797.2389894804344,797.238989480475,797.2389894804442,959.3651650037674,881.0738231633733,686.2134728701011,565.3112410270172,536.0120621392077,373.40382589285133,558.2122381550322,755.1088342321056,640.9545147368792,876.6187724080133,933.9730381098303,1291.5091979060774,1486.2426474656331,1486.2426474658296,1021.5244708337883,1020.5516929380644,891.76407431782,955.645108802746,1486.242647465579,880.6707970276049,735.6944327977835
2017-01-07,705.2414533054879,682.5251584412099,747.6883132203357,947.4262799780932,904.6156803287386,982.1844837872039,794.7696147357901,945.477927238508,945.4779272384903,863.2077334683299,518.0834603247898,624.5987236283022,938.8542336310298,979.9934414209054,748.3248237986264,792.5049049535443,871.4321625175342,736.8125796537597,778.5732411891281,1027.5457235835734,936.988542640034,963.6972491801024,969.4513637436673,837.7309617991615
2017-01-08,871.4321625177969,871.4321625175875,736.2599376308747,856.1634320949101,1011.9974068937984,934.119682131284,891.5555955056237,799.1116082669677,831.7344893804811,863.8385300019036,456.2744207030632,771.4327778037732,944.5332059265033,924.9342863828464,545.2566059436932,833.027412111079,891.7640743178706,973.6281594909793,878.5647026042011,878.5647026040023,878.5647026040532,878.5647026039633,914.6946905147356,670.0173591448797
2017-01-09,585.1254670641921,461.7764185090912,856.1169097752985,740.7091085360875,970.4027290416797,889.3528993989888,730.0522540050148,820.5121646732753,693.0009906231917,817.7961722907208,937.0770575437103,880.1973596215305,689.2704100133399,598.9105693806788,584.4861214410763,719.9317350101738,808.5992252285541,380.7940804526794,596.7510826058972,809.5567469206088,746.4785480578482,724.7291780210285,777.475887589668,574.4100357274933
2017-01-10,592.664159024093,757.8759785508465,708.8202223113893,928.6635664755164,902.1156520052033,626.3193606333347,646.1372036967692,849.0800174322508,767.9127424210586,776.4201338919618,782.9038549225119,619.0074050674302,888.8833077832104,964.4704203392416,879.0748590181148,878.5647026039824,871.2810470757919,972.8407915799253,766.0341170368837,518.9526219918184,408.1163266962696,408.1485220762523,707.410807537046,1042.7122644088317
2017-01-11,905.8441347312449,553.7274849439566,801.6910339338222,606.9379131472672,550.1392015915096,459.31479875767036,372.5380161562943,633.8019507640938,709.8161169378997,717.1621883827876,459.48715185404086,538.0838791795842,560.8058048152928,884.6408836972861,611.0119058395356,773.2709063987891,528.9432617848927,587.4311361419773,448.6243198331775,796.8989270247639,420.1183483577889,552.7544347162318,655.3979685165552,496.90195733208236
2017-01-12,891.5555955056114,632.0724732775783,539.3503462089084,525.907667823046,808.0399369817659,858.0407349591951,716.540251216869,379.0137816833416,379.64383606411,379.3322748117523,522.8223569338128,842.8098380870557,618.7434382679041,419.02163187999747,671.8124715270458,373.40382589288055,611.838135143369,595.2723787502484,385.52992913132726,412.5332568800569,493.87271702395066,419.0019512713597,793.6722307414923,511.9376729877875
